colNames	meaning
"""fBodyAccJerk-mean()-X"""	aggregated mean of  fBodyAccJerk-mean()-X by subject and activity
"""fBodyAccJerk-mean()-Y"""	aggregated mean of  fBodyAccJerk-mean()-Y by subject and activity
"""fBodyAccJerk-mean()-Z"""	aggregated mean of  fBodyAccJerk-mean()-Z by subject and activity
"""fBodyAccJerk-meanFreq()-X"""	aggregated mean of  fBodyAccJerk-meanFreq()-X by subject and activity
"""fBodyAccJerk-meanFreq()-Y"""	aggregated mean of  fBodyAccJerk-meanFreq()-Y by subject and activity
"""fBodyAccJerk-meanFreq()-Z"""	aggregated mean of  fBodyAccJerk-meanFreq()-Z by subject and activity
"""fBodyGyro-mean()-X"""	aggregated mean of  fBodyGyro-mean()-X by subject and activity
"""fBodyGyro-mean()-Y"""	aggregated mean of  fBodyGyro-mean()-Y by subject and activity
"""fBodyGyro-mean()-Z"""	aggregated mean of  fBodyGyro-mean()-Z by subject and activity
"""fBodyGyro-meanFreq()-X"""	aggregated mean of  fBodyGyro-meanFreq()-X by subject and activity
"""fBodyGyro-meanFreq()-Y"""	aggregated mean of  fBodyGyro-meanFreq()-Y by subject and activity
"""fBodyGyro-meanFreq()-Z"""	aggregated mean of  fBodyGyro-meanFreq()-Z by subject and activity
"""fBodyAccMag-mean()"""	aggregated mean of  fBodyAccMag-mean() by subject and activity
"""fBodyAccMag-meanFreq()"""	aggregated mean of  fBodyAccMag-meanFreq() by subject and activity
"""fBodyBodyAccJerkMag-mean()"""	aggregated mean of  fBodyBodyAccJerkMag-mean() by subject and activity
"""fBodyBodyAccJerkMag-meanFreq()"""	aggregated mean of  fBodyBodyAccJerkMag-meanFreq() by subject and activity
"""fBodyBodyGyroMag-mean()"""	aggregated mean of  fBodyBodyGyroMag-mean() by subject and activity
"""fBodyBodyGyroMag-meanFreq()"""	aggregated mean of  fBodyBodyGyroMag-meanFreq() by subject and activity
"""fBodyBodyGyroJerkMag-mean()"""	aggregated mean of  fBodyBodyGyroJerkMag-mean() by subject and activity
"""fBodyBodyGyroJerkMag-meanFreq()"""	aggregated mean of  fBodyBodyGyroJerkMag-meanFreq() by subject and activity
"""tBodyAcc-std()-X"""	aggregated mean of  tBodyAcc-std()-X by subject and activity
"""tBodyAcc-std()-Y"""	aggregated mean of  tBodyAcc-std()-Y by subject and activity
"""tBodyAcc-std()-Z"""	aggregated mean of  tBodyAcc-std()-Z by subject and activity
"""tGravityAcc-std()-X"""	aggregated mean of  tGravityAcc-std()-X by subject and activity
"""tGravityAcc-std()-Y"""	aggregated mean of  tGravityAcc-std()-Y by subject and activity
"""tGravityAcc-std()-Z"""	aggregated mean of  tGravityAcc-std()-Z by subject and activity
"""tBodyAccJerk-std()-X"""	aggregated mean of  tBodyAccJerk-std()-X by subject and activity
"""tBodyAccJerk-std()-Y"""	aggregated mean of  tBodyAccJerk-std()-Y by subject and activity
"""tBodyAccJerk-std()-Z"""	aggregated mean of  tBodyAccJerk-std()-Z by subject and activity
"""tBodyGyro-std()-X"""	aggregated mean of  tBodyGyro-std()-X by subject and activity
"""tBodyGyro-std()-Y"""	aggregated mean of  tBodyGyro-std()-Y by subject and activity
"""tBodyGyro-std()-Z"""	aggregated mean of  tBodyGyro-std()-Z by subject and activity
"""tBodyGyroJerk-std()-X"""	aggregated mean of  tBodyGyroJerk-std()-X by subject and activity
"""tBodyGyroJerk-std()-Y"""	aggregated mean of  tBodyGyroJerk-std()-Y by subject and activity
"""tBodyGyroJerk-std()-Z"""	aggregated mean of  tBodyGyroJerk-std()-Z by subject and activity
"""tBodyAccMag-std()"""	aggregated mean of  tBodyAccMag-std() by subject and activity
"""tGravityAccMag-std()"""	aggregated mean of  tGravityAccMag-std() by subject and activity
"""tBodyAccJerkMag-std()"""	aggregated mean of  tBodyAccJerkMag-std() by subject and activity
"""tBodyGyroMag-std()"""	aggregated mean of  tBodyGyroMag-std() by subject and activity
"""tBodyGyroJerkMag-std()"""	aggregated mean of  tBodyGyroJerkMag-std() by subject and activity
"""fBodyAcc-std()-X"""	aggregated mean of  fBodyAcc-std()-X by subject and activity
"""fBodyAcc-std()-Y"""	aggregated mean of  fBodyAcc-std()-Y by subject and activity
"""fBodyAcc-std()-Z"""	aggregated mean of  fBodyAcc-std()-Z by subject and activity
"""fBodyAccJerk-std()-X"""	aggregated mean of  fBodyAccJerk-std()-X by subject and activity
"""fBodyAccJerk-std()-Y"""	aggregated mean of  fBodyAccJerk-std()-Y by subject and activity
"""fBodyAccJerk-std()-Z"""	aggregated mean of  fBodyAccJerk-std()-Z by subject and activity
"""fBodyGyro-std()-X"""	aggregated mean of  fBodyGyro-std()-X by subject and activity
"""fBodyGyro-std()-Y"""	aggregated mean of  fBodyGyro-std()-Y by subject and activity
"""fBodyGyro-std()-Z"""	aggregated mean of  fBodyGyro-std()-Z by subject and activity
"""fBodyAccMag-std()"""	aggregated mean of  fBodyAccMag-std() by subject and activity
"""fBodyBodyAccJerkMag-std()"""	aggregated mean of  fBodyBodyAccJerkMag-std() by subject and activity
"""fBodyBodyGyroMag-std()"""	aggregated mean of  fBodyBodyGyroMag-std() by subject and activity
"""fBodyBodyGyroJerkMag-std()"""	aggregated mean of  fBodyBodyGyroJerkMag-std() by subject and activity
